City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Weimar,DE,58.06,overcast clouds,50.9833,11.3167,"Hotel Elephant Weimar, Autograph Collection"
13,Annan,GB,57.78,overcast clouds,54.9884,-3.2565,Queensberry Arms Hotel
35,Larkollen,NO,57.15,clear sky,59.3339,10.6656,Støtvig Hotel
44,Ullapool,GB,57.34,overcast clouds,57.8987,-5.1604,Argyll Hotel
110,Budingen,DE,57.88,overcast clouds,50.3,9.1167,Schloss Büdingen
133,Campbeltown,GB,57.25,broken clouds,55.4258,-5.6076,The Royal Hotel
136,Nova Odesa,UA,57.24,broken clouds,47.3078,31.7851,Готель Круиз
141,Beyneu,KZ,57.58,clear sky,45.3167,55.2,NUR
206,Nowogard,PL,58.44,clear sky,53.6744,15.1163,Pokoje Gościnne
211,Chufarovo,RU,57.2,overcast clouds,54.0963,47.3367,
214,Ebbs,AT,57.97,moderate rain,47.6333,12.2167,Sporthotel Wilder Kaiser
220,Ballyshannon,IE,57.22,scattered clouds,54.5,-8.1833,Dorrians Imperial Hotel
237,Leninskoye,KZ,57.85,broken clouds,41.7589,69.3864,Қалдыбайдың үйі 🏘️
246,Sorochinsk,RU,57.0,broken clouds,52.4338,53.1583,Hotel Skazka
278,Urazovka,RU,57.4,overcast clouds,55.4013,45.6186,"Krasnooktyabr'skoye, Gostinitsa"
298,Horn,DE,57.78,broken clouds,51.8715,8.9451,Ringhotel Waldhotel Bärenstein
342,Ballinrobe,IE,57.74,broken clouds,53.6333,-9.2333,Friarsquarter House
350,Starotimoshkino,RU,57.58,overcast clouds,53.7191,47.5312,Dom Kul'tury I Otdykha R.p. Starotimoshkino
371,Zonguldak,TR,57.27,overcast clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
456,Nexo,DK,57.29,clear sky,55.0607,15.1306,Strandhotel Balka Søbad
525,Teberda,RU,57.36,overcast clouds,43.4456,41.7448,U Ally Hotel
546,Staryy Krym,UA,57.02,light rain,45.0333,35.1,"Otel' ""Solkhat"""
575,Husum,DE,57.31,clear sky,54.4858,9.0524,Best Western Plus Theodor Storm Hotel
577,Stolbishche,RU,57.65,broken clouds,55.6468,49.216,Holiday Home on Dorozhnaya 37A
595,Agvali,RU,58.28,scattered clouds,42.5385,46.1197,"Ooo Mtts ""Gornyye Vershiny"""
612,Stornoway,GB,57.16,broken clouds,58.2093,-6.3865,Caladh Inn
645,Kalmar,SE,57.96,broken clouds,56.6616,16.3616,First Hotel Witt
654,Coswig,DE,58.41,clear sky,51.1333,13.5833,Landhotel Gut Wildberg
656,Asekeyevo,RU,57.02,overcast clouds,53.5742,52.7972,
661,Kadom,RU,57.54,overcast clouds,54.5592,42.4675,Vita
680,Zhizdra,RU,57.49,light rain,53.746,34.7395,Salon Krasoty Morozovoy
682,Helmstedt,DE,57.15,scattered clouds,52.2279,11.0099,Best Western Hotel Helmstedt am Lappwald
685,Samokov,BG,57.7,clear sky,42.3333,23.55,The Castle Hotel
687,Neulengbach,AT,57.27,light rain,48.1974,15.9022,Das Steinberger
729,Polgardi,HU,57.38,moderate rain,47.061,18.302,Polgárdi Horgásztó
751,Valtice,CZ,57.67,overcast clouds,48.7407,16.755,Hotel Saletes
762,Grafenhainichen,DE,58.06,broken clouds,51.7333,12.45,Hotel Gröbern am See UG
783,Kletnya,RU,57.51,light rain,53.3897,33.2171,Gostinitsa-Otel' Kletnya
829,Strzelce Opolskie,PL,58.12,overcast clouds,50.5107,18.3006,Pokoje przy Starym Młynie
841,Fraserburgh,GB,58.48,overcast clouds,57.6874,-2.0184,Fraserburgh Caravan Park Ltd
864,Melk,AT,57.78,light rain,48.2274,15.3319,Wachauerhof
892,Hakkari,TR,57.24,clear sky,37.5833,44.1667,Koprucek Koyu Muhtarligi
905,Bad Wildungen,DE,57.31,broken clouds,51.1196,9.1248,Göbel's Hotel Quellenhof
907,Ardabil,IR,58.06,clear sky,38.2498,48.2933,Hotel ideal
910,Kuznetsk,RU,58.44,overcast clouds,53.1167,46.6004,Kuznetsk
918,Aberystwyth,GB,57.88,clear sky,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
973,Nakskov,DK,57.11,clear sky,54.8373,11.1284,Hotel Harmonien
1005,Donegal,IE,57.25,scattered clouds,54.65,-8.1167,The Central Hotel Donegal
1008,Cefa,RO,57.61,clear sky,46.9167,21.7333,Casa Rabi
1011,Stoenesti,RO,57.97,clear sky,45.25,25.1667,Casa de Vacanta Eva
1014,Kogon,UZ,57.24,clear sky,39.7228,64.5517,AFROSIYOB
1024,Sevsk,RU,57.36,light rain,52.1491,34.4926,Skarabey
