City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Muros,ES,42.7762,-9.0603,79.84,45,99,4.83,overcast clouds
1,Hellvik,NO,59.9156,5.781,54.77,91,97,1.01,overcast clouds
2,Kardla,EE,58.9978,22.7492,50.05,73,99,7.43,overcast clouds
3,Delbruck,DE,51.7667,8.5667,61.11,65,20,9.22,few clouds
4,Abrantes,PT,39.4667,-8.2,92.73,18,0,7.54,clear sky
5,Niort,FR,46.3333,-0.3333,67.62,67,38,4.0,scattered clouds
6,Foldeak,HU,46.3167,20.5,63.55,56,67,10.74,broken clouds
7,Arkhangelsk,RU,64.5401,40.5433,42.91,93,75,2.24,broken clouds
8,Weimar,DE,50.9833,11.3167,58.06,84,100,12.08,overcast clouds
9,Klaksvik,FO,62.2266,-6.589,52.72,81,10,26.6,clear sky
10,Aljezur,PT,37.3191,-8.8033,80.46,38,0,8.88,clear sky
11,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,75,10.36,drizzle
12,Brae,GB,60.3964,-1.353,53.98,85,49,20.4,scattered clouds
13,Annan,GB,54.9884,-3.2565,57.78,73,88,8.72,overcast clouds
14,Yaransk,RU,57.3033,47.8861,55.92,94,98,10.98,overcast clouds
15,Westport,US,41.1415,-73.3579,59.76,70,100,16.11,overcast clouds
16,Husavik,IS,66.0449,-17.3389,45.63,92,100,3.56,overcast clouds
17,Malaya Serdoba,RU,52.4661,44.9512,62.04,80,96,11.16,overcast clouds
18,Staraya,RU,59.9281,30.6206,48.06,92,95,4.14,overcast clouds
19,Yayva,RU,59.3303,57.2641,50.18,60,100,12.19,overcast clouds
20,Kongsberg,NO,59.6652,9.6465,54.41,85,53,2.77,broken clouds
21,Grindavik,IS,63.8424,-22.4338,48.15,87,100,12.66,moderate rain
22,Barnsley,GB,53.55,-1.4833,61.54,64,14,10.09,few clouds
23,Roald,NO,62.5833,6.1333,59.16,93,75,11.5,light rain
24,Kajaani,FI,64.2273,27.7285,46.45,87,100,4.61,overcast clouds
25,Aksarayskiy,RU,46.7924,48.0119,66.38,64,100,15.93,overcast clouds
26,Kamenka,RU,51.3223,42.7678,65.57,69,100,11.36,overcast clouds
27,Tortosa,ES,40.8125,0.5216,81.25,44,4,8.66,clear sky
28,Hov,NO,60.6987,10.3519,49.08,94,99,1.14,overcast clouds
29,Hofn,IS,64.2539,-15.2082,53.62,58,20,23.02,few clouds
30,Letterkenny,IE,54.95,-7.7333,58.89,67,33,8.19,scattered clouds
31,Usinsk,RU,65.9939,57.5281,40.93,95,100,11.25,light rain
32,Naryan-Mar,RU,67.6713,53.087,40.82,93,100,4.74,overcast clouds
33,Golub-Dobrzyn,PL,53.1109,19.0538,55.56,73,99,10.87,light rain
34,Lunel,FR,43.6778,4.1361,80.51,39,0,14.97,clear sky
35,Larkollen,NO,59.3339,10.6656,57.15,79,0,2.3,clear sky
36,Yuksekova,TR,37.5736,44.2872,65.95,30,0,12.66,clear sky
