City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-09-30 17:52:34,-46.1927,168.8643,30.49,99,9,2.08
1,Lata,PT,2022-09-30 18:01:36,40.1629,-8.3327,66.92,62,74,5.21
2,Qaanaaq,GL,2022-09-30 17:52:38,77.484,-69.3632,19.9,68,93,11.63
3,Albany,US,2022-09-30 17:53:41,42.6001,-73.9662,60.46,63,100,1.01
4,Port Alfred,ZA,2022-09-30 17:52:11,-33.5906,26.891,67.17,90,100,5.99
5,Beringovskiy,RU,2022-09-30 18:01:37,63.05,179.3167,39.92,82,100,23.44
6,Zhigansk,RU,2022-09-30 18:01:37,66.7697,123.3711,26.24,83,95,3.2
7,Mindelo,CV,2022-09-30 18:01:37,16.8901,-24.9804,79.66,84,9,17.2
8,Zlobin,HR,2022-09-30 18:01:38,45.2924,14.6541,54.68,94,75,9.22
9,Luanda,AO,2022-09-30 18:01:38,-8.8368,13.2343,74.21,86,24,11.43
10,Isangel,VU,2022-09-30 18:01:39,-19.55,169.2667,74.19,84,4,8.21
11,Yellowknife,CA,2022-09-30 17:50:55,62.456,-114.3525,50.56,76,20,20.71
12,Pochutla,MX,2022-09-30 17:52:30,15.7432,-96.4661,86.83,66,93,5.41
13,Punta Arenas,CL,2022-09-30 17:52:28,-53.15,-70.9167,48.31,46,0,12.66
14,East London,ZA,2022-09-30 17:52:37,-33.0153,27.9116,67.14,82,0,13.8
15,Watsa,CD,2022-09-30 18:01:40,3.0372,29.5355,65.14,95,73,1.52
16,Jamestown,US,2022-09-30 17:49:48,42.097,-79.2353,60.03,59,0,5.75
17,Flinders,AU,2022-09-30 18:01:41,-34.5833,150.8552,55.18,89,98,5.01
18,Ubinskoye,RU,2022-09-30 18:01:41,55.3068,79.6802,29.39,88,60,7.34
19,Atuona,PF,2022-09-30 17:52:27,-9.8,-139.0333,76.71,69,51,17.9
20,Rabak,SD,2022-09-30 18:01:42,13.1809,32.74,83.37,57,36,10.65
21,Saskylakh,RU,2022-09-30 17:53:49,71.9167,114.0833,21.99,94,91,4.12
22,Hobart,AU,2022-09-30 17:47:42,-42.8794,147.3294,40.05,89,1,9.22
23,Hermanus,ZA,2022-09-30 17:52:30,-34.4187,19.2345,58.8,84,66,10.4
24,Sao Felix Do Xingu,BR,2022-09-30 18:00:54,-6.6447,-51.995,103.77,18,49,1.25
25,Lebu,CL,2022-09-30 17:56:36,-37.6167,-73.65,56.82,76,100,13.51
26,Bambous Virieux,MU,2022-09-30 17:55:00,-20.3428,57.7575,70.05,78,40,5.75
27,Mar Del Plata,AR,2022-09-30 17:51:09,-38.0023,-57.5575,62.62,75,20,12.66
28,Colesberg,ZA,2022-09-30 18:01:43,-30.72,25.0972,72.9,10,99,14.36
29,Butaritari,KI,2022-09-30 17:53:39,3.0707,172.7902,80.92,78,86,15.88
30,Bengkulu,ID,2022-09-30 18:01:44,-3.8004,102.2655,75.74,92,52,3.24
31,Cape Town,ZA,2022-09-30 17:53:50,-33.9258,18.4232,63.01,63,20,11.5
32,Busselton,AU,2022-09-30 17:53:48,-33.65,115.3333,54.01,79,6,9.08
33,Sao Filipe,CV,2022-09-30 18:01:45,14.8961,-24.4956,79.81,86,50,6.89
34,Dauriya,RU,2022-09-30 18:01:45,49.9333,116.8667,35.31,90,49,4.0
35,Upernavik,GL,2022-09-30 17:55:04,72.7868,-56.1549,22.42,77,67,4.72
36,Lagos,NG,2022-09-30 18:00:02,6.5833,3.75,74.86,94,100,3.51
37,Arraial Do Cabo,BR,2022-09-30 17:52:29,-22.9661,-42.0278,73.26,60,75,10.36
38,Siena,IT,2022-09-30 18:01:46,43.2167,11.4,61.77,94,98,2.53
39,Poputnaya,RU,2022-09-30 18:01:46,44.5125,41.4392,65.79,60,18,3.09
40,Bluff,NZ,2022-09-30 18:01:47,-46.6,168.3333,37.92,83,7,6.13
41,Te Anau,NZ,2022-09-30 18:00:37,-45.4167,167.7167,31.51,96,25,1.3
42,Ushuaia,AR,2022-09-30 18:01:48,-54.8,-68.3,44.11,61,100,11.23
43,Dingle,PH,2022-09-30 18:01:49,10.9995,122.6711,75.45,88,91,5.14
44,Port Lincoln,AU,2022-09-30 17:52:26,-34.7333,135.8667,52.61,88,0,10.36
45,Nioki,CD,2022-09-30 18:01:49,-2.7167,17.6833,76.96,72,74,2.46
46,La Ronge,CA,2022-09-30 18:01:50,55.1001,-105.2842,50.22,71,100,10.36
47,Lagoa,PT,2022-09-30 17:56:32,39.05,-27.9833,68.34,65,3,3.85
48,Souillac,MU,2022-09-30 18:01:50,-20.5167,57.5167,69.91,77,13,11.01
49,Batan,CR,2022-09-30 18:02:51,10.0844,-83.341,83.37,78,83,4.81
50,Ribeira Grande,PT,2022-09-30 18:02:51,38.5167,-28.7,73.8,56,40,6.91
51,Ugoofaaru,MV,2022-09-30 18:02:51,5.6667,73.0,79.65,81,98,25.37
52,New Norfolk,AU,2022-09-30 18:02:52,-42.7826,147.0587,39.7,72,2,2.93
53,Atambua,ID,2022-09-30 18:01:48,-9.1061,124.8925,74.84,81,100,2.66
54,Mahebourg,MU,2022-09-30 18:02:53,-20.4081,57.7,67.24,74,9,12.12
55,Kodiak,US,2022-09-30 18:02:54,57.79,-152.4072,44.02,75,4,1.95
56,Thompson,CA,2022-09-30 17:56:38,55.7435,-97.8558,41.16,56,75,8.05
57,Intipuca,SV,2022-09-30 18:02:55,13.1969,-88.0544,86.5,58,99,3.78
58,Nouadhibou,MR,2022-09-30 18:02:55,20.931,-17.0347,74.48,72,27,23.4
59,Carolina,PR,2022-09-30 17:59:55,18.3808,-65.9574,88.72,78,72,1.99
60,Bethel,US,2022-09-30 17:56:37,41.3712,-73.414,63.01,68,100,1.01
61,Jiaojiang,CN,2022-09-30 18:02:56,28.6803,121.4428,73.08,97,34,3.29
62,Ulladulla,AU,2022-09-30 18:02:56,-35.35,150.4667,52.81,79,100,9.53
63,Carutapera,BR,2022-09-30 18:02:57,-1.195,-46.02,86.13,61,67,11.81
64,Sola,VU,2022-09-30 18:02:57,-13.8833,167.55,80.2,67,82,5.28
65,Puerto Ayora,EC,2022-09-30 18:01:31,-0.7393,-90.3518,67.55,91,95,8.01
66,Georgetown,MY,2022-09-30 17:53:43,5.4112,100.3354,82.33,83,40,7.0
67,Norman Wells,CA,2022-09-30 18:00:51,65.282,-126.8329,48.43,69,100,6.29
68,Ahar,IR,2022-09-30 18:02:58,38.4774,47.0699,61.21,57,0,4.92
69,Talnakh,RU,2022-09-30 18:02:58,69.4865,88.3972,29.12,98,99,5.66
70,Vila Franca Do Campo,PT,2022-09-30 18:02:59,37.7167,-25.4333,75.2,79,72,3.53
71,Portland,US,2022-09-30 18:00:36,45.5234,-122.6762,63.28,85,52,5.01
72,Kapaa,US,2022-09-30 18:02:59,22.0752,-159.319,80.58,89,4,6.89
73,Khatanga,RU,2022-09-30 18:03:00,71.9667,102.5,28.76,95,100,11.5
74,Strezhevoy,RU,2022-09-30 18:03:00,60.7333,77.5889,27.72,85,67,5.37
75,Vaini,TO,2022-09-30 17:52:02,-21.2,-175.2,71.76,83,40,9.22
76,Liverpool,GB,2022-09-30 17:59:39,53.4106,-2.9779,58.95,90,40,10.36
77,Cidreira,BR,2022-09-30 17:53:53,-30.1811,-50.2056,64.02,75,99,17.6
78,Gazli,UZ,2022-09-30 18:03:01,40.1333,63.45,68.77,19,87,12.53
79,Bougouni,ML,2022-09-30 18:03:01,11.417,-7.479,81.77,71,97,2.17
80,Cabo San Lucas,MX,2022-09-30 18:02:21,22.8909,-109.9124,93.61,64,0,3.31
81,Lasa,IT,2022-09-30 18:03:02,46.6166,10.7002,50.36,97,100,1.72
82,Aykhal,RU,2022-09-30 18:03:02,66.0,111.5,13.42,97,95,4.25
83,Tessalit,ML,2022-09-30 18:02:18,20.1986,1.0114,100.58,13,48,7.87
84,Sorland,NO,2022-09-30 18:03:03,67.667,12.6934,49.86,59,20,10.11
85,Selenduma,RU,2022-09-30 18:03:04,50.9131,106.2406,35.13,80,100,10.38
86,Tuktoyaktuk,CA,2022-09-30 17:53:39,69.4541,-133.0374,30.2,100,100,13.8
87,Tura,IN,2022-09-30 18:03:04,25.5198,90.2201,75.6,88,100,3.06
88,Lloydminster,CA,2022-09-30 18:00:02,53.2835,-110.0016,55.62,82,75,9.22
89,Sovetskiy,RU,2022-09-30 18:03:05,61.3614,63.5842,26.85,71,12,5.12
90,Airai,TL,2022-09-30 18:03:05,-8.9266,125.4092,61.5,94,100,1.28
91,Witu,KE,2022-09-30 18:03:06,-2.3889,40.4382,75.36,79,79,10.49
92,Port Keats,AU,2022-09-30 18:03:06,-14.25,129.55,80.65,79,99,4.7
93,Tiksi,RU,2022-09-30 17:53:52,71.6872,128.8694,13.86,95,73,7.05
94,Shiliguri,IN,2022-09-30 18:04:07,26.7,88.4333,78.26,80,14,4.47
95,Vestmanna,FO,2022-09-30 18:04:08,62.1564,-7.1664,49.12,93,100,13.8
96,Bam,IR,2022-09-30 18:04:08,29.106,58.357,81.3,10,0,9.91
97,Mayo,US,2022-09-30 18:04:09,38.8876,-76.5119,63.36,79,75,8.05
98,Anchorage,US,2022-09-30 18:00:03,61.2181,-149.9003,48.92,94,100,3.44
99,Yerbogachen,RU,2022-09-30 18:04:10,61.2767,108.0108,24.1,71,55,3.47
100,Port Elizabeth,ZA,2022-09-30 18:03:24,-33.918,25.5701,67.1,92,20,14.0
101,Hilo,US,2022-09-30 18:04:10,19.7297,-155.09,81.28,84,91,1.01
102,Pisco,PE,2022-09-30 18:04:11,-13.7,-76.2167,67.01,68,100,8.03
103,Mount Gambier,AU,2022-09-30 18:04:11,-37.8333,140.7667,45.3,91,6,5.84
104,Pingliang,CN,2022-09-30 18:04:12,35.5392,106.6861,64.26,70,100,0.72
105,Sur,OM,2022-09-30 18:04:12,22.5667,59.5289,81.16,75,1,11.63
106,Cabanas,CU,2022-09-30 18:04:13,22.9758,-82.9219,81.82,67,39,10.98
